ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5000160,F,Y,Y,0,161911.01,Commercial associate,Secondary / secondary special,Married,House / apartment,-19765,-8661,1,1,1,0,Drivers,2.0
5000161,F,Y,Y,0,133683.47,Working,Secondary / secondary special,Married,House / apartment,-8038,-1296,1,0,0,0,,2.0
5000162,M,N,Y,0,249103.03,Commercial associate,Higher education,Married,With parents,-20721,-1292,1,0,0,0,Laborers,2.0
5000163,F,N,Y,0,141142.13,Working,Secondary / secondary special,Married,House / apartment,-23580,-11567,1,0,0,0,High skill tech staff,2.0
5000164,F,Y,Y,0,130621.84,Pensioner,Secondary / secondary special,Married,House / apartment,-22773,365243,1,0,0,0,,2.0
5000165,F,N,Y,0,145547.66,Working,Secondary / secondary special,Single / not married,House / apartment,-21105,-1323,1,0,1,1,Core staff,2.0
5000166,F,N,Y,0,148068.16,Working,Secondary / secondary special,Separated,House / apartment,-17782,-8402,1,0,1,0,Laborers,2.0
5000167,M,N,N,0,206542.66,Working,Higher education,Married,House / apartment,-12141,-3511,1,1,1,0,Laborers,2.0
5000168,F,Y,Y,0,205352.83,Commercial associate,Higher education,Civil marriage,House / apartment,-18188,-221,1,0,0,0,High skill tech staff,2.0
5000169,M,N,N,2,140206.86,State servant,Secondary / secondary special,Married,Municipal apartment,-18849,-7370,1,0,0,0,Security staff,4.0
5000170,M,N,N,2,149548.94,Working,Secondary / secondary special,Separated,House / apartment,-12195,-853,1,0,0,0,Laborers,4.0
5000171,F,Y,N,0,156665.59,Working,Secondary / secondary special,Married,House / apartment,-11774,-771,1,0,1,0,Laborers,1.0
5000172,F,N,Y,0,179138.36,Working,Incomplete higher,Married,House / apartment,-14049,-1155,1,0,0,0,Sales staff,2.0
5000173,M,N,Y,0,112299.64,Pensioner,Secondary / secondary special,Civil marriage,With parents,-17974,365243,1,0,1,0,,2.0
5000174,M,Y,N,2,236061.7,Working,Higher education,Single / not married,House / apartment,-12380,-2827,1,0,0,0,Laborers,4.0
5000175,M,N,Y,0,140426.78,Working,Secondary / secondary special,Married,House / apartment,-16600,-1190,1,0,0,0,Managers,2.0
5000176,M,Y,Y,0,205426.92,Commercial associate,Lower secondary,Civil marriage,House / apartment,-22122,-1985,1,0,1,1,Core staff,1.0
5000177,F,N,Y,0,138525.43,Working,Secondary / secondary special,Married,House / apartment,-12413,-1522,1,0,1,0,Core staff,2.0
5000178,F,N,Y,0,153622.05,Working,Secondary / secondary special,Single / not married,House / apartment,-23194,-50,1,0,1,0,High skill tech staff,2.0
5000179,F,N,N,0,156072.02,Working,Secondary / secondary special,Single / not married,House / apartment,-15277,-2426,1,0,0,0,Cooking staff,2.0
5000180,M,N,Y,0,110385.84,Pensioner,Incomplete higher,Married,House / apartment,-9292,365243,1,0,1,0,,2.0
5000181,F,N,Y,0,105268.72,Pensioner,Incomplete higher,Single / not married,House / apartment,-8555,365243,1,0,0,0,,2.0
5000182,F,Y,Y,0,214295.83,Commercial associate,Higher education,Married,House / apartment,-13113,-4057,1,1,0,0,Cleaning staff,2.0
5000183,F,N,Y,0,195709.76,Working,Higher education,Married,House / apartment,-11829,-3175,1,1,1,0,Laborers,2.0
5000184,F,N,Y,0,131552.57,Working,Secondary / secondary special,Married,House / apartment,-21230,-14209,1,0,0,0,Managers,1.0
5000185,F,N,Y,0,194725.66,Working,Higher education,Civil marriage,House / apartment,-19525,-1581,1,0,0,0,Managers,2.0
5000186,M,Y,N,1,252441.66,Commercial associate,Higher education,Married,House / apartment,-21886,-13257,1,0,0,0,Core staff,3.0
5000187,F,N,Y,0,151596.35,Commercial associate,Secondary / secondary special,Married,House / apartment,-17140,-4155,1,1,0,0,,1.0
5000188,M,N,N,0,105162.96,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-14668,365243,1,0,1,0,,2.0
5000189,F,N,Y,0,163306.54,Working,Secondary / secondary special,Single / not married,House / apartment,-12019,-2129,1,0,1,0,Security staff,2.0
5000190,F,N,Y,0,205896.33,Commercial associate,Secondary / secondary special,Married,House / apartment,-17041,-3674,1,0,0,0,Laborers,2.0
5000191,M,N,Y,0,228704.27,Commercial associate,Higher education,Separated,House / apartment,-17603,-1407,1,1,0,0,,2.0
5000192,M,Y,Y,0,174898.46,Working,Secondary / secondary special,Married,House / apartment,-13985,-3565,1,0,1,0,,2.0
5000193,F,N,N,0,226097.7,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-22722,-12722,1,0,0,0,Laborers,2.0
5000194,M,N,N,0,109514.17,Pensioner,Secondary / secondary special,Married,House / apartment,-17955,365243,1,0,0,0,,2.0
5000195,F,N,Y,0,118277.08,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21129,365243,1,0,0,0,,2.0
5000196,F,Y,Y,0,198664.44,Commercial associate,Secondary / secondary special,Married,House / apartment,-17641,-9692,1,0,0,0,Sales staff,2.0
5000197,F,N,N,0,200459.4,Working,Higher education,Married,House / apartment,-12757,-5954,1,0,0,0,Drivers,2.0
5000198,F,N,Y,0,109648.27,Pensioner,Secondary / secondary special,Married,House / apartment,-19508,365243,1,0,0,1,,2.0
5000199,F,N,Y,0,239008.07,Commercial associate,Higher education,Single / not married,House / apartment,-11371,-3774,1,0,0,0,Core staff,1.0
5000200,F,N,N,0,133051.2,Working,Secondary / secondary special,Married,House / apartment,-17258,-6670,1,0,0,0,Core staff,2.0
5000201,F,N,Y,0,229842.99,Working,Higher education,Married,House / apartment,-14137,-3780,1,0,0,0,,1.0
5000202,F,N,N,0,125981.46,Working,Secondary / secondary special,Single / not married,House / apartment,-10079,-3070,1,1,1,1,Laborers,2.0
5000203,F,N,Y,0,154494.62,Working,Secondary / secondary special,Single / not married,House / apartment,-14311,-5731,1,1,0,0,High skill tech staff,2.0
5000204,M,N,N,1,198152.19,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-12657,-1011,1,0,0,0,Private service staff,3.0
5000205,F,N,Y,1,144138.9,Working,Incomplete higher,Married,House / apartment,-9474,-1990,1,0,0,0,High skill tech staff,2.0
5000206,F,N,Y,0,131259.38,Working,Secondary / secondary special,Single / not married,House / apartment,-20910,-6199,1,0,0,0,Accountants,2.0
5000207,M,N,Y,0,158805.29,Working,Secondary / secondary special,Married,House / apartment,-15683,-5441,1,1,1,0,Managers,2.0
5000208,F,Y,Y,0,246015.69,Working,Higher education,Separated,Rented apartment,-13237,-5988,1,1,0,0,Laborers,2.0
5000209,F,Y,Y,0,141409.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15786,-6023,1,0,0,0,Sales staff,2.0
5000210,F,Y,Y,1,157603.62,Working,Secondary / secondary special,Single / not married,House / apartment,-19797,-12414,1,0,0,1,Cooking staff,3.0
5000211,F,Y,Y,1,173722.73,Working,Secondary / secondary special,Married,House / apartment,-7964,-1208,1,0,0,0,Core staff,3.0
5000212,M,Y,N,2,181113.9,Commercial associate,Secondary / secondary special,Married,House / apartment,-16457,-1305,1,0,0,1,Accountants,4.0
5000213,M,Y,Y,0,165612.8,Working,Secondary / secondary special,Civil marriage,House / apartment,-15371,-138,1,0,0,0,,2.0
5000214,F,N,Y,0,155954.67,Commercial associate,Secondary / secondary special,Married,House / apartment,-22023,-5960,1,0,0,0,Core staff,2.0
5000215,M,Y,Y,1,234369.64,Working,Higher education,Single / not married,House / apartment,-16605,-8684,1,0,0,0,,3.0
5000216,M,N,Y,0,143907.57,Working,Secondary / secondary special,Married,House / apartment,-9877,-788,1,0,1,0,Managers,2.0
5000217,F,N,Y,1,145252.18,Working,Secondary / secondary special,Single / not married,House / apartment,-13917,-5087,1,0,0,1,Private service staff,3.0
5000218,M,Y,Y,0,140595.89,Working,Secondary / secondary special,Married,House / apartment,-17651,-5291,1,1,0,0,Laborers,1.0
5000219,F,N,N,0,142907.74,Working,Secondary / secondary special,Married,House / apartment,-8408,-1377,1,0,1,0,Sales staff,2.0
5000220,M,N,Y,0,171045.5,Working,Secondary / secondary special,Single / not married,House / apartment,-21887,-2556,1,0,0,0,Medicine staff,2.0
5000221,M,Y,Y,0,259874.96,Working,Higher education,Single / not married,House / apartment,-8760,-550,1,0,0,0,,2.0
5000222,F,N,N,0,304750.57,Commercial associate,Higher education,Single / not married,House / apartment,-8162,-412,1,1,0,0,Accountants,2.0
5000223,F,N,N,0,223988.14,Working,Higher education,Married,House / apartment,-7703,-635,1,0,0,0,Laborers,2.0
5000224,F,Y,Y,0,91249.51,Pensioner,Secondary / secondary special,Married,House / apartment,-18659,365243,1,0,0,0,,2.0
5000225,F,Y,N,0,86287.57,Pensioner,Higher education,Civil marriage,House / apartment,-14997,365243,1,0,1,0,,1.0
5000226,M,N,Y,0,285974.69,Commercial associate,Higher education,Married,House / apartment,-9323,-821,1,1,0,0,Low-skill Laborers,2.0
5000227,M,N,N,0,109827.86,Working,Secondary / secondary special,Single / not married,House / apartment,-21430,-12065,1,0,0,0,Security staff,1.0
5000228,F,N,Y,1,120325.09,Pensioner,Secondary / secondary special,Widow,House / apartment,-10928,365243,1,1,0,0,,3.0
5000229,F,Y,Y,0,149265.06,Working,Secondary / secondary special,Married,House / apartment,-12915,-2222,1,0,0,0,Core staff,2.0
5000230,F,N,N,0,168495.77,Working,Secondary / secondary special,Married,House / apartment,-10526,-2624,1,0,1,0,High skill tech staff,2.0
5000231,F,N,Y,3,159965.17,Working,Higher education,Civil marriage,House / apartment,-22564,-15168,1,0,0,0,Security staff,4.0
5000232,F,N,Y,2,99097.29,Pensioner,Secondary / secondary special,Married,House / apartment,-19853,365243,1,0,0,0,,4.0
5000233,F,N,Y,0,157156.72,Working,Secondary / secondary special,Married,House / apartment,-19305,-7740,1,0,0,0,Drivers,2.0
5000234,M,Y,Y,1,107778.49,Pensioner,Secondary / secondary special,Married,House / apartment,-8377,365243,1,0,0,0,,2.0
5000235,F,N,Y,0,132095.56,Working,Secondary / secondary special,Married,House / apartment,-16071,-2327,1,1,1,0,Core staff,1.0
5000236,F,Y,Y,0,107014.55,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-16918,365243,1,1,0,0,,2.0
5000237,M,N,Y,0,94127.33,Pensioner,Incomplete higher,Married,House / apartment,-13818,365243,1,0,0,0,,1.0
5000238,F,Y,Y,0,81906.14,Pensioner,Secondary / secondary special,Married,House / apartment,-12841,365243,1,0,1,0,,2.0
5000239,M,Y,Y,1,224963.31,Working,Higher education,Married,House / apartment,-21362,-12286,1,1,1,0,Cleaning staff,3.0
5000240,M,N,Y,1,103337.59,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-8040,365243,1,0,1,0,,3.0
5000241,F,N,Y,3,158392.37,State servant,Secondary / secondary special,Married,With parents,-17720,-175,1,0,1,0,Core staff,4.0
5000242,F,N,N,1,166256.45,Working,Secondary / secondary special,Married,House / apartment,-14006,-1933,1,0,0,0,,3.0
5000243,F,Y,Y,0,176297.42,Working,Higher education,Married,House / apartment,-18373,-4594,1,0,1,0,Low-skill Laborers,2.0
5000244,F,N,Y,0,160210.52,Commercial associate,Secondary / secondary special,Married,House / apartment,-10851,-867,1,0,1,0,Sales staff,2.0
5000245,F,Y,N,5,145705.93,Working,Secondary / secondary special,Married,House / apartment,-11506,-2993,1,0,0,0,Sales staff,7.0
5000246,F,Y,N,1,228124.74,Commercial associate,Secondary / secondary special,Widow,House / apartment,-17102,-5890,1,0,0,0,Core staff,3.0
5000247,F,Y,Y,1,211744.85,Working,Higher education,Single / not married,House / apartment,-23419,-6868,1,0,0,0,Laborers,3.0
5000248,F,Y,N,2,147407.58,Working,Secondary / secondary special,Married,House / apartment,-23334,-4959,1,0,0,0,,4.0
5000249,F,N,Y,0,131729.07,Working,Secondary / secondary special,Married,House / apartment,-11672,-2232,1,0,0,0,Laborers,2.0
5000250,M,N,N,1,158458.22,Working,Secondary / secondary special,Married,Municipal apartment,-9315,-823,1,0,0,0,,2.0
5000251,F,N,Y,1,148812.82,Working,Secondary / secondary special,Single / not married,House / apartment,-17158,-2370,1,0,1,0,Managers,2.0
5000252,F,Y,Y,2,96888.87,Pensioner,Higher education,Married,House / apartment,-14420,365243,1,0,0,0,,4.0
5000253,F,Y,Y,0,216636.38,Working,Higher education,Married,House / apartment,-19911,-4708,1,1,1,0,Sales staff,2.0
5000254,M,Y,N,0,111740.46,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-16155,365243,1,0,1,0,,2.0
5000255,F,N,Y,0,92239.36,Pensioner,Higher education,Civil marriage,House / apartment,-15876,365243,1,0,0,0,,1.0
5000256,M,N,Y,0,248577.15,Working,Higher education,Married,House / apartment,-18060,-6932,1,0,0,0,,2.0
5000257,M,Y,Y,0,176691.73,Working,Secondary / secondary special,Married,House / apartment,-9702,-2040,1,0,0,0,,2.0
5000258,F,N,N,0,158985.17,Working,Higher education,Civil marriage,Rented apartment,-18553,-3587,1,0,1,0,,2.0
5000259,M,N,N,0,150453.67,Working,Secondary / secondary special,Married,Rented apartment,-15521,-8478,1,1,1,0,Managers,2.0
5000260,F,Y,Y,0,154093.7,Working,Secondary / secondary special,Married,House / apartment,-20851,-3766,1,0,1,0,Sales staff,2.0
5000261,F,N,Y,0,127387.05,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9899,-2378,1,0,1,0,Core staff,2.0
5000262,F,N,Y,0,162038.87,State servant,Secondary / secondary special,Married,House / apartment,-12504,-516,1,0,0,1,Core staff,2.0
5000263,F,N,Y,0,151743.94,Working,Secondary / secondary special,Married,House / apartment,-22942,-10893,1,0,0,0,Private service staff,2.0
5000264,F,N,N,0,236649.26,Commercial associate,Higher education,Single / not married,House / apartment,-16559,-4611,1,0,0,0,Drivers,2.0
5000265,M,Y,Y,0,222386.6,State servant,Higher education,Married,House / apartment,-22605,-9138,1,1,0,1,Sales staff,2.0
5000266,F,N,Y,0,97545.96,Pensioner,Higher education,Married,House / apartment,-18744,365243,1,0,0,0,,2.0
5000267,F,N,Y,0,86278.61,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22559,365243,1,0,1,0,,2.0
5000268,F,N,Y,0,95975.95,Pensioner,Incomplete higher,Married,Municipal apartment,-12778,365243,1,0,0,0,,2.0
5000269,F,Y,Y,1,163572.33,Working,Secondary / secondary special,Married,House / apartment,-9125,-499,1,0,0,0,,3.0
5000270,M,N,Y,0,70632.39,Pensioner,Secondary / secondary special,Widow,House / apartment,-20563,365243,1,1,1,0,,2.0
5000271,F,N,Y,0,155390.79,State servant,Secondary / secondary special,Married,House / apartment,-20599,-6101,1,0,0,0,Laborers,1.0
5000272,F,N,Y,1,142837.05,Working,Secondary / secondary special,Widow,House / apartment,-17615,-8468,1,1,0,0,Waiters/barmen staff,2.0
5000273,F,N,Y,0,161755.23,Working,Secondary / secondary special,Married,House / apartment,-16985,-7993,1,0,1,0,,1.0
5000274,F,N,Y,2,150113.08,Working,Secondary / secondary special,Married,With parents,-22374,-3781,1,0,0,0,,4.0
5000275,F,Y,Y,1,229644.4,Working,Higher education,Single / not married,House / apartment,-10507,-1410,1,1,0,0,Sales staff,2.0
5000276,M,Y,N,0,134785.24,Working,Lower secondary,Civil marriage,House / apartment,-17579,-78,1,0,1,0,High skill tech staff,2.0
5000277,F,N,Y,0,237308.96,Commercial associate,Higher education,Single / not married,House / apartment,-8470,-203,1,0,0,0,Laborers,1.0
5000278,M,N,Y,0,153083.32,Commercial associate,Secondary / secondary special,Married,House / apartment,-9934,-457,1,1,1,0,,2.0
5000279,F,Y,N,0,193665.69,Working,Higher education,Married,House / apartment,-14698,-2411,1,0,1,0,Sales staff,1.0
5000280,F,N,Y,0,247340.84,Working,Higher education,Married,House / apartment,-20868,-10857,1,0,0,0,Managers,2.0
5000281,F,Y,Y,0,69569.19,Pensioner,Secondary / secondary special,Married,With parents,-19452,365243,1,1,0,0,,2.0
5000282,M,N,Y,1,213944.32,Working,Higher education,Married,House / apartment,-23324,-8564,1,0,1,0,Drivers,3.0
5000283,M,Y,Y,0,150437.71,Working,Secondary / secondary special,Separated,House / apartment,-8391,-1447,1,0,1,0,Core staff,2.0
5000284,F,Y,Y,0,171006.97,Commercial associate,Secondary / secondary special,Married,House / apartment,-13799,-5462,1,0,1,0,Laborers,2.0
5000285,M,Y,Y,0,164643.41,Working,Secondary / secondary special,Married,House / apartment,-10222,-2156,1,1,0,0,Sales staff,2.0
5000286,M,Y,N,0,160060.59,Working,Secondary / secondary special,Married,With parents,-8264,-862,1,0,0,0,Laborers,1.0
5000287,F,N,N,0,227526.91,Working,Higher education,Married,House / apartment,-11919,-4980,1,0,0,0,Core staff,2.0
5000288,F,Y,Y,0,152730.96,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-11599,365243,1,1,0,0,,2.0
5000289,F,N,Y,0,200939.07,Commercial associate,Secondary / secondary special,Single / not married,With parents,-14421,-4482,1,1,1,0,Medicine staff,1.0
5000290,F,N,Y,2,175070.65,Working,Higher education,Single / not married,House / apartment,-9921,-1634,1,0,0,0,Cooking staff,3.0
5000291,M,Y,Y,0,164215.95,Working,Incomplete higher,Single / not married,House / apartment,-15522,-7781,1,0,0,0,Cooking staff,2.0
5000292,M,Y,Y,0,170540.36,Commercial associate,Secondary / secondary special,Separated,House / apartment,-22457,-1168,1,0,0,0,Core staff,2.0
5000293,F,Y,N,0,70170.34,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-19694,365243,1,0,0,0,,2.0
5000294,F,N,Y,0,196640.54,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-21205,-9610,1,0,0,0,Private service staff,2.0
5000295,F,Y,N,0,108016.38,Pensioner,Secondary / secondary special,Married,With parents,-20603,365243,1,0,0,0,,2.0
5000296,M,Y,N,1,149028.5,Working,Secondary / secondary special,Married,House / apartment,-13932,-863,1,0,0,0,Laborers,3.0
5000297,M,N,N,2,176788.35,Commercial associate,Secondary / secondary special,Married,House / apartment,-19064,-10245,1,0,1,0,Accountants,3.0
5000298,M,N,Y,0,95097.25,Pensioner,Higher education,Married,With parents,-19792,365243,1,1,0,0,,2.0
5000299,M,N,Y,0,90698.61,Pensioner,Higher education,Single / not married,House / apartment,-10975,365243,1,0,1,0,,2.0
5000300,F,N,Y,0,94792.76,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21496,365243,1,0,0,0,,1.0
5000301,F,Y,Y,0,151589.58,Working,Secondary / secondary special,Civil marriage,House / apartment,-15027,-6707,1,1,0,0,Accountants,2.0
5000302,F,Y,Y,0,120613.11,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-7933,365243,1,0,0,0,,2.0
5000303,M,Y,Y,0,177770.12,Commercial associate,Secondary / secondary special,Married,House / apartment,-18010,-5777,1,0,1,0,Laborers,1.0
5000304,F,Y,Y,0,40171.66,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-18547,365243,1,1,1,0,,2.0
5000305,F,N,Y,0,182265.37,Working,Secondary / secondary special,Single / not married,With parents,-16538,-6598,1,0,0,0,Secretaries,2.0
5000306,F,Y,N,1,173794.74,Commercial associate,Secondary / secondary special,Married,House / apartment,-11084,-3492,1,0,0,0,Accountants,3.0
